,Column Reference Code,Logic Consumption Dictonary
0,9001,"{""Finetuning Logic"": ""Not Consumed"", ""Qualifying criteria"": ""Not Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Not Consumed"", ""Ethnicity Logic"": ""Not Consumed"", ""Layer Logic"": ""Not Consumed""}"
1,9002,"{""Finetuning Logic"": ""Not Consumed"", ""Qualifying criteria"": ""Not Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Not Consumed"", ""Ethnicity Logic"": ""Not Consumed"", ""Layer Logic"": ""Not Consumed""}"
2,9003,"{""Finetuning Logic"": ""Not Consumed"", ""Qualifying criteria"": ""Not Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Not Consumed"", ""Ethnicity Logic"": ""Not Consumed"", ""Layer Logic"": ""Not Consumed""}"
3,9004,"{""Finetuning Logic"": ""Not Consumed"", ""Qualifying criteria"": ""Not Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Not Consumed"", ""Ethnicity Logic"": ""Not Consumed"", ""Layer Logic"": ""Not Consumed""}"
4,9005,"{""Finetuning Logic"": ""Not Consumed"", ""Qualifying criteria"": ""Not Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Not Consumed"", ""Ethnicity Logic"": ""Not Consumed"", ""Layer Logic"": ""Not Consumed""}"
5,9006,"{""Finetuning Logic"": ""Not Consumed"", ""Qualifying criteria"": ""Not Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Not Consumed"", ""Ethnicity Logic"": ""Not Consumed"", ""Layer Logic"": ""Not Consumed""}"
6,9007,"{""Finetuning Logic"": ""Not Consumed"", ""Qualifying criteria"": ""Not Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Not Consumed"", ""Ethnicity Logic"": ""Not Consumed"", ""Layer Logic"": ""Not Consumed""}"
7,9008,"{""Finetuning Logic"": ""Not Consumed"", ""Qualifying criteria"": ""Not Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Not Consumed"", ""Ethnicity Logic"": ""Not Consumed"", ""Layer Logic"": ""Not Consumed""}"
8,9009,"{""Finetuning Logic"": ""Not Consumed"", ""Qualifying criteria"": ""Not Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Not Consumed"", ""Ethnicity Logic"": ""Not Consumed"", ""Layer Logic"": ""Not Consumed""}"
9,9010,"{""Finetuning Logic"": ""Not Consumed"", ""Qualifying criteria"": ""Not Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Not Consumed"", ""Ethnicity Logic"": ""Not Consumed"", ""Layer Logic"": ""Not Consumed""}"
10,9011,"{""Finetuning Logic"": ""Not Consumed"", ""Qualifying criteria"": ""Not Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Not Consumed"", ""Ethnicity Logic"": ""Not Consumed"", ""Layer Logic"": ""Not Consumed""}"
11,9012,"{""Finetuning Logic"": ""Not Consumed"", ""Qualifying criteria"": ""Not Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Not Consumed"", ""Ethnicity Logic"": ""Not Consumed"", ""Layer Logic"": ""Not Consumed""}"
12,9013,"{""Finetuning Logic"": ""Not Consumed"", ""Qualifying criteria"": ""Not Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Not Consumed"", ""Ethnicity Logic"": ""Not Consumed"", ""Layer Logic"": ""Not Consumed""}"
13,9014,"{""Finetuning Logic"": ""Not Consumed"", ""Qualifying criteria"": ""Not Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Not Consumed"", ""Ethnicity Logic"": ""Not Consumed"", ""Layer Logic"": ""Not Consumed""}"
14,9015,"{""Finetuning Logic"": ""Not Consumed"", ""Qualifying criteria"": ""Not Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Not Consumed"", ""Ethnicity Logic"": ""Not Consumed"", ""Layer Logic"": ""Not Consumed""}"
15,9016,"{""Finetuning Logic"": ""Not Consumed"", ""Qualifying criteria"": ""Not Used"", ""Age logic"": ""Not Consumed"", ""Insurance settlement history"": ""Not Consumed"", ""Ethnicity Logic"": ""Not Consumed"", ""Layer Logic"": ""Not Consumed""}"
